flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '35df5fe0-c90d-43b4-a35a-3d97022114d2')",Silver I,"('air', 'non-urban air or from high stacks')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a1dd198a-2505-58f5-b757-539f2fdc1cb1')",Aluminium phosphide,"('soil', 'forestry')",kilogram,Aluminium phosphide,AlP,57.9553,3.897248210843503e-14,"{'Al': 0.46556570322300117, 'P': 0.534446375051117}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '9ee7f4ab-b826-47ae-8623-e138f944b42e')",Lead II,"('air', 'low population density, long-term')",kilogram,Lead,Pb,207.0,1.1855254708054448e-13,{'Pb': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e14c3639-68b7-5cc7-8e8e-068d8078207e')",Trichloronat,"('air',)",kilogram,Trichloronat,C10H12Cl3O2PS,333.6,1.5759383883333775e-15,"{'C': 0.36004196642685843, 'H': 0.0362589928057554, 'Cl': 0.31882194244604317, 'O': 0.09591726618705036, 'P': 0.09284772182254196, 'S': 0.09611810551558751}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a8e17f99-cb24-5d45-908e-fbfff6a6e9fc')",Dialifor,"('air', 'non-urban air or from high stacks')",kilogram,Dialifor,C14H17ClNO4PS2,393.8,1.3350255112951112e-15,"{'C': 0.42700355510411375, 'H': 0.043514474352463174, 'Cl': 0.09002793296089386, 'N': 0.03556881665820213, 'O': 0.1625088877602844, 'P': 0.07865413915693245, 'S': 0.16284916201117317}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '450b3341-bf01-5869-9d41-78c96aebaa01')",Sulfosate,"('water', 'surface water')",kilogram,Sulfosate,C6H16NO5PS,245.24,2.143749169580879e-15,"{'C': 0.2938590768227043, 'H': 0.06576414940466481, 'N': 0.057115478714728427, 'O': 0.32619067036372534, 'P': 0.1263007665959876, 'S': 0.13074946990702985}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '23b970ad-65e1-5368-ac29-02f1f2850de7')",Carbophenothion,"('air',)",kilogram,Carbophenothion,C11H16ClO2PS3,342.9,1.533196402298089e-15,"{'C': 0.38530475357247007, 'H': 0.04703412073490814, 'Cl': 0.10339165937591135, 'O': 0.09331583552055994, 'P': 0.09032954214056577, 'S': 0.2805336832895888}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '227a7022-d3d5-5d9a-9e67-076a18f541d2')",Chlorphoxim,"('air',)",kilogram,Chlorphoxim,C12H14ClN2O3PS,332.74,1.5800115596201681e-15,"{'C': 0.4331670373264411, 'H': 0.0424114924565727, 'Cl': 0.1065486566087636, 'N': 0.08419186151349402, 'O': 0.14424776101460599, 'P': 0.09308769609905632, 'S': 0.09636653242772134}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'f3bd91fd-00a4-5032-9fc5-71373fc9d414')",Phenthoate,"('air',)",kilogram,Phenthoate,C12H17O4PS2,320.4,1.6408646889763257e-15,"{'C': 0.44985018726591763, 'H': 0.053483146067415735, 'O': 0.19973782771535584, 'P': 0.0966729088639201, 'S': 0.20015605493133584}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a5ee5afb-2710-5f24-a619-0e460c5259d7')",Zineb,"('soil', 'forestry')",kilogram,Zineb,C4H6N2S4Zn,275.8,2.56887377677525e-14,"{'C': 0.1741986947063089, 'H': 0.021928934010152282, 'N': 0.1015736040609137, 'S': 0.4650471356055112, 'Zn': 0.23705583756345175}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5e15f2fc-f275-59bd-b322-40457ad1fad9')",Phenkapton,"('soil',)",kilogram,Phenkapton,C11H15Cl2O2PS3,377.3,1.393408551147667e-15,"{'C': 0.35017492711370257, 'H': 0.04007421150278293, 'Cl': 0.18793002915451895, 'O': 0.08480784521600848, 'P': 0.08209382454280413, 'S': 0.2549562682215743}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd6d511e0-499c-50ff-ae9e-0f1330b68b10')",Rabon,"('water',)",kilogram,Rabon,C10H9Cl4O4P,366.0,1.436429088382554e-15,"{'C': 0.3281693989071038, 'H': 0.024786885245901637, 'Cl': 0.38746448087431695, 'O': 0.17485245901639346, 'P': 0.08462841530054645}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8a422b03-1055-4bc8-b439-27bf8d7eef57')",Tin ion,"('air', 'low population density, long-term')",kilogram,Tin,Sn,118.71,1.3268575464212294e-13,{'Sn': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '4fe87334-f0d5-5fa1-a989-b5c80446c666')",Copper oxide,"('water', 'surface water')",kilogram,Copper oxide,CuO,79.55,9.835397719686547e-15,"{'Cu': 0.7988183532369579, 'O': 0.20111879321181647}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt II,"('soil',)",kilogram,Cobalt,Co,58.93319,1.9447495148453946e-12,{'Co': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a57bf693-7ffa-409d-919c-c806e34a4c67')",Sodium dichromate,"('air',)",kilogram,Sodium dichromate,Cr2Na2O7,261.97,1.2416404653735104e-13,"{'Cr': 0.39696148413940524, 'Na': 0.17551628049013243, 'O': 0.42750314921555904}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a459b4f3-89fe-5550-b6fe-f4a3adfc1199')",Demeton-S-methylsulfon,"('soil',)",kilogram,Demeton-S-methylsulfon,C6H15O5PS2,262.3,2.0043196582082147e-15,"{'C': 0.2747464735036218, 'H': 0.05764391917651544, 'O': 0.3049752192146397, 'P': 0.11808616088448341, 'S': 0.24449104079298511}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '3feafdad-2519-5ef1-944f-b4975c81ca5c')",Fospirate,"('soil', 'agricultural')",kilogram,Fospirate,C7H7Cl3NO4P,306.5,1.7152791071713368e-15,"{'C': 0.2743132137030995, 'H': 0.02302120717781403, 'Cl': 0.3470114192495922, 'N': 0.04569983686786297, 'O': 0.20879608482871126, 'P': 0.10105709624796085}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c38ed221-919e-53fb-8590-d3485c05a660')",Parathion,"('water',)",kilogram,Parathion,C10H14NO5PS,291.26,1.8050300293483994e-15,"{'C': 0.41238069079173245, 'H': 0.04845155531140562, 'N': 0.04809105266771956, 'O': 0.2746515141111035, 'P': 0.10634484652887455, 'S': 0.1100906406646982}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '4c027583-52a8-52c6-acb6-fa08f30f1d2c')",Ferbam,"('soil',)",kilogram,Ferbam,C9H18FeN3S6,416.5,1.293247625744822e-15,"{'C': 0.2595414165666266, 'H': 0.04356302521008403, 'Fe': 0.13408163265306122, 'N': 0.100890756302521, 'S': 0.46192076830732287}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '332a1baf-c0b6-5782-bea2-37319e4ab31b')",Thionazin,"('air',)",kilogram,Thionazin,C8H13N2O3PS,248.24,2.117841791604958e-15,"{'C': 0.3870770222365452, 'H': 0.0527876248791492, 'N': 0.11285046728971962, 'O': 0.193349178214631, 'P': 0.12477441185949081, 'S': 0.12916935223976794}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '43be80a8-7aee-58cf-8779-b7d5b30ee355')",EPN,"('air', 'non-urban air or from high stacks')",kilogram,EPN,C14H14NO4PS,323.31,1.6260958409823846e-15,"{'C': 0.5201014506201478, 'H': 0.04364851071726825, 'N': 0.04332374501252668, 'O': 0.19794005752992486, 'P': 0.09580278989205407, 'S': 0.09917726021465466}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '7805afa2-d93b-40bb-b841-325b98aec824')",Antimony ion,"('water', 'ocean')",kilogram,Antimony,Sb,121.76,2.1834077210692158e-11,{'Sb': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'f1a9fbc5-3ec0-5608-b9c3-b55b0c0a963f')",Phosfolan,"('water', 'surface water')",kilogram,Phosfolan,C7H14NO3PS2,255.3,2.0592755438621808e-15,"{'C': 0.3293262828045437, 'H': 0.055276145710928315, 'N': 0.05486486486486486, 'O': 0.1880023501762632, 'P': 0.12132393262828045, 'S': 0.2511946729338033}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'cd12e0bb-082d-5a3a-905e-fef7e8fc893d')",Phoxim,"('soil', 'agricultural')",kilogram,Phoxim,C12H15N2O3PS,298.3,1.762430594529047e-15,"{'C': 0.48317800871605765, 'H': 0.050687227623198126, 'N': 0.09391216895742541, 'O': 0.1609017767348307, 'P': 0.10383506537043245, 'S': 0.10749245725779416}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8467ab9c-9fc7-55ce-a7ae-0884507510d5')",Tepp,"('air', 'non-urban air or from high stacks')",kilogram,Tepp,C8H20O7P2,290.19,3.623371214363105e-15,"{'C': 0.3311209896964058, 'H': 0.06947172542127572, 'O': 0.38592990799131605, 'P': 0.2134739308728764}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e2d35af7-9806-46ff-9b75-b124a48fa5a1')",Phosphorus,"('air', 'low population density, long-term')",kilogram,Phosphorus,P,30.973762,1.6973366253890836e-14,{'P': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '73ccb2c6-32be-5f55-a49d-551422916413')",Prothiofos,"('soil', 'forestry')",kilogram,Prothiofos,C11H15Cl2O2PS2,345.2,1.5229810149131367e-15,"{'C': 0.38273754345307065, 'H': 0.043800695249130946, 'Cl': 0.20540556199304752, 'O': 0.09269409038238703, 'P': 0.08972769409038239, 'S': 0.18577636152954807}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '2f5879fc-2fe8-56e6-beb0-01ee8b53bcab')",Copper oxide,"('soil', 'forestry')",kilogram,Copper oxide,CuO,79.55,9.835397719686547e-15,"{'Cu': 0.7988183532369579, 'O': 0.20111879321181647}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '3850d44e-8919-47bc-9c0a-51ccc4ec9d9f')",Glyphosate,"('soil', 'agricultural')",kilogram,Glyphosate,C3H8NO5P,169.07,3.1095584453067654e-15,"{'C': 0.21312474123144262, 'H': 0.04769622050038446, 'N': 0.08284734133790737, 'O': 0.4731472171289999, 'P': 0.1832022239309162}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '07507908-40d9-5956-a9d9-beeb71b3fd7f')",Sodium hexafluorophosphate,"('water',)",kilogram,Sodium hexafluorophosphate,F6NaP,167.9539502,3.1302213834326043e-15,"{'F': 0.6786860318811364, 'Na': 0.13688275847411416, 'P': 0.18441959812863037}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '6332b448-dad5-5071-adb2-34a3da7ac793')",Trichloronat,"('soil', 'agricultural')",kilogram,Trichloronat,C10H12Cl3O2PS,333.6,1.5759383883333775e-15,"{'C': 0.36004196642685843, 'H': 0.0362589928057554, 'Cl': 0.31882194244604317, 'O': 0.09591726618705036, 'P': 0.09284772182254196, 'S': 0.09611810551558751}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'f517687e-d05e-5578-aa2f-a54b8f4ec4c2')",EPN,"('soil', 'agricultural')",kilogram,EPN,C14H14NO4PS,323.31,1.6260958409823846e-15,"{'C': 0.5201014506201478, 'H': 0.04364851071726825, 'N': 0.04332374501252668, 'O': 0.19794005752992486, 'P': 0.09580278989205407, 'S': 0.09917726021465466}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '9f2356ae-88ba-5222-899f-9532001be831')",Glufosinate ammonium,"('water', 'ground-')",kilogram,Glufosinate ammonium,C5H15N2O4P,198.16,2.6530735080138006e-15,"{'C': 0.30306318126766246, 'H': 0.07630197819943481, 'N': 0.14137060960839726, 'O': 0.32295115058538554, 'P': 0.1563080339119903}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'b6f4285f-8ddc-54dd-83e9-09b9ba697ad2')",Fentin hydroxide,"('air', 'non-urban air or from high stacks')",kilogram,Fentin hydroxide,C18H16OSn,367.0,4.291859927402292e-14,"{'C': 0.5890953678474113, 'H': 0.043945504087193464, 'O': 0.04359400544959128, 'Sn': 0.32346049046321523}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '34b96163-a3df-4bc1-8224-e2a9fe01b23f')",Antimony ion,"('water', 'surface water')",kilogram,Antimony,Sb,121.76,2.1834077210692158e-11,{'Sb': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '4b682e57-1ec6-52c7-b95b-0faadac57ec1')",Phosphorous acid,"('soil', 'agricultural')",kilogram,Phosphorous acid,H3O3P,81.996,6.411691379433324e-15,"{'H': 0.036879847797453534, 'O': 0.5853578223327968, 'P': 0.37775013415288555}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a698509a-6fd8-5cfd-9e6c-d6883ab9415f')",Trichloronat,"('soil', 'forestry')",kilogram,Trichloronat,C10H12Cl3O2PS,333.6,1.5759383883333775e-15,"{'C': 0.36004196642685843, 'H': 0.0362589928057554, 'Cl': 0.31882194244604317, 'O': 0.09591726618705036, 'P': 0.09284772182254196, 'S': 0.09611810551558751}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '1d782d2f-1133-5617-9547-4d4d12ea6c79')",Isoxathion,"('air', 'non-urban air or from high stacks')",kilogram,Isoxathion,C13H16NO4PS,313.31,1.6779963816923008e-15,"{'C': 0.49836583575372634, 'H': 0.05147617375762025, 'N': 0.04470652069834988, 'O': 0.20425776387603334, 'P': 0.09886055344546935, 'S': 0.10234272764993137}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '4bf44de9-52a8-5b4f-9bc5-5891ea7d505c')",Dioxathion,"('air', 'non-urban air or from high stacks')",kilogram,Dioxathion,C12H26O6P2S4,456.5,2.3033211231019264e-15,"{'C': 0.31573274917853233, 'H': 0.05741073384446878, 'O': 0.21028258488499452, 'P': 0.13570208105147863, 'S': 0.2809638554216867}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'b78e9afb-c184-5a04-9314-24b8a77ef927')",Isofenphos,"('soil',)",kilogram,Isofenphos,C15H24NO4PS,345.4,1.5220991498205408e-15,"{'C': 0.5216126230457441, 'H': 0.07004053271569195, 'N': 0.04055298204979734, 'O': 0.1852808338158657, 'P': 0.0896757382744644, 'S': 0.09283439490445859}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd7e354c0-76a9-5cb0-9af3-5225e1f50498')",Chlormephos,"('soil', 'forestry')",kilogram,Chlormephos,C5H12ClO2PS2,234.7,2.2400215012697692e-15,"{'C': 0.255879846612697, 'H': 0.05153813378781423, 'Cl': 0.1510566680869195, 'O': 0.13633574776310184, 'P': 0.13197273114614402, 'S': 0.27324243715381336}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e732d6dc-d502-4e03-8a5e-6c2644136b5f')",Ethephon,"('water', 'surface water')",kilogram,Ethephon,C2H6ClO3P,144.49,3.638542780455497e-15,"{'C': 0.16625371998062147, 'H': 0.04185756799778531, 'Cl': 0.245366461346806, 'O': 0.33218215793480516, 'P': 0.2143677763167001}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8dba66e2-0f2e-4038-84ef-1e40b4f573a6')",Iron ion,"('air',)",kilogram,Iron,Fe,55.84,9.645225823667623e-15,{'Fe': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '94007b78-83a2-5b31-a0d6-71c3c950182f')",Glyphosate,"('soil', 'forestry')",kilogram,Glyphosate,C3H8NO5P,169.07,3.1095584453067654e-15,"{'C': 0.21312474123144262, 'H': 0.04769622050038446, 'N': 0.08284734133790737, 'O': 0.4731472171289999, 'P': 0.1832022239309162}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '9afca849-2c9d-5196-a71c-100e397af84b')",Chlormephos,"('soil', 'agricultural')",kilogram,Chlormephos,C5H12ClO2PS2,234.7,2.2400215012697692e-15,"{'C': 0.255879846612697, 'H': 0.05153813378781423, 'Cl': 0.1510566680869195, 'O': 0.13633574776310184, 'P': 0.13197273114614402, 'S': 0.27324243715381336}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5a53b2ec-e8e5-5628-af71-23e9bffc391e')",Isoxathion,"('water',)",kilogram,Isoxathion,C13H16NO4PS,313.31,1.6779963816923008e-15,"{'C': 0.49836583575372634, 'H': 0.05147617375762025, 'N': 0.04470652069834988, 'O': 0.20425776387603334, 'P': 0.09886055344546935, 'S': 0.10234272764993137}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '744ec2a1-3cc8-524c-8e4b-450196b3110f')",Sulfosate,"('air', 'non-urban air or from high stacks')",kilogram,Sulfosate,C6H16NO5PS,245.24,2.143749169580879e-15,"{'C': 0.2938590768227043, 'H': 0.06576414940466481, 'N': 0.057115478714728427, 'O': 0.32619067036372534, 'P': 0.1263007665959876, 'S': 0.13074946990702985}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd7d7692e-3f4b-5c14-9add-4c9eff49bd1f')",Cupric hydroxide,"('air', 'non-urban air or from high stacks')",kilogram,Cupric hydroxide,CuH2O2,97.56,8.01974055556647e-15,"{'Cu': 0.6513530135301353, 'H': 0.020664206642066422, 'O': 0.3279827798277983}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c46f5e07-6505-5161-ae22-c23f8e74b7c6')",Metapa,"('water', 'surface water')",kilogram,Metapa,C9H18N3OP,215.23,2.442656908182014e-15,"{'C': 0.5022487571435209, 'H': 0.08430051572736143, 'N': 0.19523765274357666, 'O': 0.07433443293221206, 'P': 0.14391116480044605}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '61c6920c-89ff-5928-9bea-012bd1fc5bec')",Mancozeb,"('air', 'non-urban air or from high stacks')",kilogram,Mancozeb,C8H12MnN4S8Zn,541.1,1.9677855459297162e-14,"{'C': 0.1775790057290704, 'H': 0.022354463130659766, 'Mn': 0.10153021622620588, 'N': 0.10354463130659766, 'S': 0.47407133616706704, 'Zn': 0.12082794307891331}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '08c9d29a-ba22-54a0-a500-b9a4709e35cf')",Copper oxychloride,"('water',)",kilogram,Copper oxychloride,ClCu2H3O3,213.57,7.326926896109611e-15,"{'Cl': 0.1660017792761156, 'Cu': 0.5950835791543756, 'H': 0.01415929203539823, 'O': 0.22473662031184155}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '348a616b-9ecf-5245-9f18-c21df43735a5')",Glyphosate-isopropylammonium,"('soil', 'forestry')",kilogram,Glyphosate-isopropylammonium,C6H17N2O5P,228.18,2.3040277252520585e-15,"{'C': 0.31582960820404943, 'H': 0.07509860636339731, 'N': 0.12277149618722061, 'O': 0.35057849066526425, 'P': 0.13574371110526776}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '6b3b742c-f57d-57ce-bea4-944ff69c1ac5')",Isoxathion,"('water', 'surface water')",kilogram,Isoxathion,C13H16NO4PS,313.31,1.6779963816923008e-15,"{'C': 0.49836583575372634, 'H': 0.05147617375762025, 'N': 0.04470652069834988, 'O': 0.20425776387603334, 'P': 0.09886055344546935, 'S': 0.10234272764993137}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c2e854f9-fe22-4fe7-9083-cf6d0a8c7254')",Chromium VI,"('air', 'low population density, long-term')",kilogram,Chromium,Cr,51.996,3.1278613038877847e-13,{'Cr': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'bef5eefc-23c8-56c0-9835-8b7c68bfa522')",Phorate,"('air',)",kilogram,Phorate,C7H17O2PS3,260.4,2.0189441103994426e-15,"{'C': 0.3228763440860215, 'H': 0.06580645161290323, 'O': 0.12288018433179725, 'P': 0.11894777265745009, 'S': 0.3694124423963134}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '9488bbb7-e67b-514f-90f5-a1dfb5fd6864')",Phosphamidon,"('water',)",kilogram,Phosphamidon,C10H19ClNO5P,299.69,1.7542562192532776e-15,"{'C': 0.40078080683372813, 'H': 0.06390603623744537, 'Cl': 0.11829890887250159, 'N': 0.046738296239447426, 'O': 0.26692582335079584, 'P': 0.10335346524742234}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '6af3a0b6-3010-588c-b236-39292f882fae')",Triazophos,"('air', 'non-urban air or from high stacks')",kilogram,Triazophos,C12H16N3O3PS,313.31,1.6779963816923008e-15,"{'C': 0.4600300022342089, 'H': 0.05147617375762025, 'N': 0.13411956209504963, 'O': 0.153193322907025, 'P': 0.09886055344546935, 'S': 0.10234272764993137}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e3f7ef82-14b5-5c3a-903e-4447ee1cce64')",Naled,"('soil',)",kilogram,Naled,C4H7Br2Cl2O4P,380.78,1.3806740016492852e-15,"{'C': 0.12617259309837703, 'H': 0.018530384999212144, 'Br': 0.41968590787331267, 'Cl': 0.18621251116130053, 'O': 0.16806554966122172, 'P': 0.0813435579599769}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '81f212e8-3b60-52cd-ab86-f9a27272a0a4')",Glufosinate ammonium,"('water',)",kilogram,Glufosinate ammonium,C5H15N2O4P,198.16,2.6530735080138006e-15,"{'C': 0.30306318126766246, 'H': 0.07630197819943481, 'N': 0.14137060960839726, 'O': 0.32295115058538554, 'P': 0.1563080339119903}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8bfb8c00-cfae-5e8f-ac1c-eb0ab9426a50')",Phosphamidon,"('air', 'non-urban air or from high stacks')",kilogram,Phosphamidon,C10H19ClNO5P,299.69,1.7542562192532776e-15,"{'C': 0.40078080683372813, 'H': 0.06390603623744537, 'Cl': 0.11829890887250159, 'N': 0.046738296239447426, 'O': 0.26692582335079584, 'P': 0.10335346524742234}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '7b192eb2-644e-544a-9299-4a79cb4dd479')",Aluminium hydroxide,"('water',)",kilogram,Aluminium hydroxide,AlH3O3,78.004,2.2215897210283707e-14,"{'Al': 0.34590533818778524, 'H': 0.03876724270550228, 'O': 0.6153145992513204}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '82b041ba-071c-5200-b8cd-90ba11ec5272')",Aluminium sulfate,"('soil', 'forestry')",kilogram,Aluminium sulfate,Al2O12S3,342.2,1.0128163915785915e-14,"{'Al': 0.15769725306838106, 'O': 0.5610403272939801, 'S': 0.2811075394506137}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",Phosphate,"('water', 'ground-')",kilogram,Phosphate,O4P-3,94.971,5.53572191877536e-15,"{'O': 0.6738478061724105, 'P': 0.3261416642975224}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a8320a22-982c-5c25-b13b-3df72c4775c7')",Aspon,"('water',)",kilogram,Aspon,C12H28O5P2S2,378.4,2.7787158897886617e-15,"{'C': 0.38089852008456665, 'H': 0.0745877378435518, 'O': 0.21140327695560257, 'P': 0.16371035940803383, 'S': 0.1694767441860465}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'ebb88ef4-50ab-4e3b-9251-c5fcdf6b4768')",Silver I,"('air',)",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '6295a7cb-38ea-5c62-9cda-e98255cd78f3')",Bensulide,"('air',)",kilogram,Bensulide,C14H24NO4PS3,397.5,1.322598858737144e-15,"{'C': 0.42302893081761006, 'H': 0.060860377358490564, 'N': 0.0352377358490566, 'O': 0.16099622641509434, 'P': 0.07792201257861635, 'S': 0.242}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'e0401210-0377-4670-84af-12247ca20bed')",Aluminium III,"('soil',)",kilogram,Aluminium,Al,26.981538,6.422536676269254e-14,{'Al': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'cf339783-04d7-5c59-87bc-ac9f6f106a3d')",Ziram,"('air', 'non-urban air or from high stacks')",kilogram,Ziram,C6H12N2S4Zn,305.8,2.316858690760674e-14,"{'C': 0.2356638325703074, 'H': 0.03955526487900588, 'N': 0.09160889470241988, 'S': 0.41942446043165466, 'Zn': 0.21379986919555263}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a65b8d92-9856-54f4-9acd-5fb960324713')",Omethoate,"('soil',)",kilogram,Omethoate,C5H12NO4PS,213.19,2.4660305190112803e-15,"{'C': 0.28169707772409586, 'H': 0.056738120924996485, 'N': 0.06570195600168863, 'O': 0.3001829354097284, 'P': 0.14528824053661055, 'S': 0.15040574135747453}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '058e604e-5648-58c1-8bba-72c8c0637372')",Butonate,"('air',)",kilogram,Butonate,C8H14Cl3O5P,327.5,1.6052917445740908e-15,"{'C': 0.29339847328244273, 'H': 0.043090076335877865, 'Cl': 0.32476030534351147, 'O': 0.24425954198473285, 'P': 0.09457709923664122}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '140821a2-66bf-5600-9934-889cbf313c1e')",Phosphorus oxychloride,"('water',)",kilogram,Phosphorus oxychloride,Cl3OP,153.33,3.4287683189722474e-15,"{'Cl': 0.6936607317550382, 'O': 0.10434357268636274, 'P': 0.20200873932042}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'aa3b8030-9b9a-52be-8070-5921123c0c7d')",Copper sulfate,"('air',)",kilogram,Copper sulfate,CuO4S,159.61,4.901985393152463e-15,"{'Cu': 0.39813294906334185, 'O': 0.4009523212831276, 'S': 0.2008959338387319}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '25b4a0b3-5313-5971-9658-afb93840bfd5')",Oxydisulfoton,"('soil', 'forestry')",kilogram,Oxydisulfoton,C8H19O3PS3,290.4,1.810375503953219e-15,"{'C': 0.33088154269972453, 'H': 0.0659504132231405, 'O': 0.16527892561983473, 'P': 0.10665977961432507, 'S': 0.33125}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '1048cbe6-6f6f-5274-8318-f1f6c9a1e1e0')",Fenthion,"('soil', 'forestry')",kilogram,Fenthion,C10H15O3PS2,278.3,1.8890874823859675e-15,"{'C': 0.43158462091268407, 'H': 0.0543298598634567, 'O': 0.17246496586417534, 'P': 0.11129716133668703, 'S': 0.23043478260869563}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'ea75c39c-020b-533d-8d9f-9ede98751e87')",Omethoate,"('air', 'non-urban air or from high stacks')",kilogram,Omethoate,C5H12NO4PS,213.19,2.4660305190112803e-15,"{'C': 0.28169707772409586, 'H': 0.056738120924996485, 'N': 0.06570195600168863, 'O': 0.3001829354097284, 'P': 0.14528824053661055, 'S': 0.15040574135747453}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '420e668d-5356-5bfc-86cd-5b870e05dc10')",Fonofos,"('air',)",kilogram,Fonofos,C10H15OPS2,246.3,2.134523127681749e-15,"{'C': 0.48765732846122606, 'H': 0.06138855054811206, 'O': 0.06495736906211937, 'P': 0.12575720665854648, 'S': 0.2603735282176208}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8be0105b-df2a-5a8b-a221-1bbd69f78807')",Disulfoton,"('soil',)",kilogram,Disulfoton,C8H19O2PS3,274.4,1.9159367578280422e-15,"{'C': 0.3501749271137026, 'H': 0.06979591836734694, 'O': 0.11661078717201168, 'P': 0.11287900874635569, 'S': 0.35056486880466475}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '1a791e01-6b49-50b6-a0a8-a51299f982ce')",Disodium phosphonate,"('soil', 'agricultural')",kilogram,Disodium phosphonate,Na2O3P+,124.952,4.2074800431206764e-15,"{'Na': 0.3679813048210513, 'O': 0.3841235034253153, 'P': 0.2478871886804533}",1.0,dissipation
