Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xm_Mineral,ERC,CF2
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')",Cu,1.1160669473158619e-10,1.7735627092279727e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,Chalcopyrite,2.8793103448275863,5.106637455880542e-11,0.09213793103448277,1.1344421333348773e-15,0.00201437125748503,0.002014371206418655,0.8086409056778144,1.357087061818831e-07,1.357087061818831e-07
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')",Ni,1.1160669473158619e-10,9.387106763930648e-11,0.023,2.0853505883509992e-15,2.479348455018202e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,2.7543675875730415e-10,0.06748666666666667,6.1188417408339604e-15,0.00509049773755656,0.005090497462119802,0.0803628113054402,3.3347328413657896e-08,3.3347328413657896e-08
"Zinc, Zn 0.63%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')",Zn,9.831144033183402e-11,9.831144033183402e-11,0.0063,6.827043349798209e-16,6.827043349798209e-16,Sphalerite,1.4901477832512315,1.4649857487871818e-10,0.009387931034482759,1.0173303513861862e-15,0.02724561983471074,0.027245619688212167,0.789865871833085,2.0679232344170784e-09,2.0679232344170784e-09
"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')",Al,9.744488142367433e-11,9.744488142367433e-11,0.11,7.064790343896179e-15,7.064790343896179e-15,Bauxite (Gibbsite),2.8930041152263373,2.819084429664323e-10,0.3182304526748971,2.043846753810294e-14,0.08399573257467995,0.0839957322927715,0.95,3.315581937730243e-08,3.315581937730243e-08
"Iron, 72% in magnetite, 14% in crude ore, in ground","('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')",Fe,9.618510201692862e-11,9.618510201692862e-11,0.14,1.3503316153134672e-15,1.3503316153134672e-15,Hematite,1.0,9.618510201692862e-11,0.14,1.3503316153134672e-15,0.73,0.7299999999038149,0.95,2.8014465407041e-10,2.8014465407041e-10
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Ni,8.056999951205195e-11,6.776647128637019e-11,0.023,2.0853505883509992e-15,2.479348455018202e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.9884057647302184e-10,0.06748666666666667,6.1188417408339604e-15,0.00509049773755656,0.0050904975387159835,0.0803628113054402,2.407377162150134e-08,2.407377162150134e-08
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Cu,8.056999951205195e-11,1.2803528225681772e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,Chalcopyrite,2.8793103448275863,3.686533127049752e-11,0.09213793103448277,1.1344421333348773e-15,0.00201437125748503,0.0020143712206196988,0.8086409056778144,9.796930511474337e-08,9.796930511474337e-08
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Ni,7.510529603894097e-11,6.612558837281186e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.9402589307187665e-10,0.022299942028985505,2.0218781404494827e-15,0.00509049773755656,0.005090497543530667,0.0803628113054402,2.349085582015138e-08,2.349085582015138e-08
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Cu,7.510529603894097e-11,8.979707666129104e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,Chalcopyrite,2.8793103448275863,2.585536517661311e-11,0.021882758620689655,2.694300066670333e-16,0.00201437125748503,0.0020143712316296647,0.8086409056778144,6.871037079882064e-08,6.871037079882064e-08
"Phosphorus, 18% in apatite, 12% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a64e65fe-3c33-44f1-bd2d-ab7fac07653f')",P,7.4893191978336e-11,7.4893191978336e-11,0.12,2.0368039504669003e-15,2.0368039504669003e-15,Apatite,0.3532544378698225,2.6456352432583788e-11,0.0423905325443787,7.195100345732187e-16,0.04784087102177553,0.04784087099531918,0.9,4.4499513114352994e-11,4.4499513114352994e-11
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Cu,6.781788347707632e-11,6.396916544645767e-11,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,Chalcopyrite,2.8793103448275863,1.8418707981997296e-10,0.05269137931034483,6.48759095000883e-16,0.00201437125748503,0.0020143710732979502,0.8086409056778144,4.894764568145878e-07,4.894764568145878e-07
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Mo,6.781788347707632e-11,3.848718030618656e-12,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,Molybdenite,1.6700000000000004,6.427359111133156e-12,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.0001796407121355151,0.9176761103880936,5.224450636584171e-07,5.224450636584171e-07
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Cu,5.985380081324634e-11,4.6676412084680706e-11,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,Chalcopyrite,2.8793103448275863,1.3439587617485651e-10,0.011229310344827588,1.3826013500018817e-16,0.00201437125748503,0.0020143711230891535,0.8086409056778144,3.5715641050857664e-07,3.5715641050857664e-07
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Mo,5.985380081324634e-11,1.3177388728565642e-11,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,Molybdenite,1.6700000000000004,2.2006239176704627e-11,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964069655663502,0.9176761103880936,1.788779190346019e-06,1.788779190346019e-06
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Cu,5.905559344883054e-11,4.522422545787658e-11,0.0036,4.432476000006032e-17,5.788103565684491e-17,Chalcopyrite,2.8793103448275863,1.3021458019767912e-10,0.01036551724137931,1.276247400001737e-16,0.00201437125748503,0.00201437112727045,0.8086409056778144,3.4604469344748197e-07,3.4604469344748197e-07
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Mo,5.905559344883054e-11,1.383136799095395e-11,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,Molybdenite,1.6700000000000004,2.3098384544893103e-11,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964069546448966,0.9176761103880936,1.8775560591533737e-06,1.8775560591533737e-06
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Cu,4.499827759750166e-11,1.7791513341337833e-11,0.0036,4.432476000006032e-17,1.1210613828398327e-16,Chalcopyrite,2.8793103448275863,5.1227288413852037e-11,0.01036551724137931,1.276247400001737e-16,0.00201437125748503,0.0020143712062577414,0.8086409056778144,1.361361576262797e-07,1.361361576262797e-07
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Mo,4.499827759750166e-11,2.7206764256163834e-11,0.00041,6.778137828392296e-17,1.1210613828398327e-16,Molybdenite,1.6700000000000004,4.5435296307793614e-11,0.0006847000000000001,1.1319490173415135e-16,0.0001796407185628742,0.00017964067312757788,0.9176761103880936,3.693218453729017e-06,3.693218453729017e-06
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Cu,4.386716354622733e-11,3.116038315052907e-11,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,Chalcopyrite,2.8793103448275863,8.972041355410957e-11,0.007774137931034483,9.571855500013028e-17,0.00201437125748503,0.0020143711677646165,0.8086409056778144,2.38431573628874e-07,2.38431573628874e-07
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Mo,4.386716354622733e-11,1.2706780395698267e-11,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,Molybdenite,1.6700000000000004,2.122032326081611e-11,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964069734255093,0.9176761103880936,1.7248966991762894e-06,1.7248966991762894e-06
"Copper, Cu 0.38%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')",Cu,4.3003793149892564e-11,4.3003793149892564e-11,0.0038,4.678724666673034e-17,4.678724666673034e-17,Chalcopyrite,2.8793103448275863,1.2382126648331136e-10,0.010941379310344827,1.3471500333351666e-16,0.00201437125748503,0.0020143711336637633,0.8086409056778144,3.290545233332279e-07,3.290545233332279e-07
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Cu,3.862458915444484e-11,4.618016806050872e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,Chalcopyrite,2.8793103448275863,1.3296703562249925e-11,0.021882758620689655,2.694300066670333e-16,0.00201437125748503,0.0020143712441883263,0.8086409056778144,3.533595534948142e-08,3.533595534948142e-08
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Ni,3.862458915444484e-11,3.4006572348393965e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,9.978218315443249e-11,0.022299942028985505,2.0218781404494827e-15,0.00509049773755656,0.005090497637774377,0.0803628113054402,1.2080702023627116e-08,1.2080702023627116e-08
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Cu,3.0365058802356184e-11,2.0237097355829697e-11,0.0022,2.70873533333702e-17,4.064362899015479e-17,Chalcopyrite,2.8793103448275863,5.826888376592343e-11,0.00633448275862069,7.799289666677281e-17,0.00201437125748503,0.0020143711992161462,0.8086409056778144,1.548491866925206e-07,1.548491866925206e-07
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Mo,3.0365058802356184e-11,1.0127961446526482e-11,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,Molybdenite,1.6700000000000004,1.691369561569923e-11,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964070164917857,0.9176761103880936,1.3748344164914306e-06,1.3748344164914306e-06
"Zinc, Zn 3.1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'c3b2ba62-b158-47b1-8e1e-e76156e5292a')",Zn,1.1095296388631614e-11,1.1095296388631614e-11,0.031,3.359338791170547e-15,3.359338791170547e-15,Sphalerite,1.4901477832512315,1.6533631318034795e-11,0.046194581280788176,5.005911252852662e-15,0.02724561983471074,0.027245619818177108,0.789865871833085,2.333823609338266e-10,2.333823609338266e-10
"Stibnite, in ground","('ecoinvent-3.4-biosphere', '3e0034cd-21d6-4582-9fbf-09c26edd05df')",Sb,1.1017501308257363e-11,1.1017501308257363e-11,0.7168678245510746,1.565214743110908e-11,1.565214743110908e-11,Stibnite,1.3941798941798942,1.5360378808073097e-11,0.9994427077735881,2.182190924919176e-11,0.02711271347248577,0.02711271345712539,0.9,1.899666591981161e-10,1.899666591981161e-10
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Cu,9.958828984517513e-12,8.767124305025508e-12,0.008100000000000001,9.973071000013574e-17,1.1328698565692033e-16,Chalcopyrite,2.8793103448275863,2.524327170584931e-11,0.02332241379310345,2.8715566500039084e-16,0.00201437125748503,0.002014371232241758,0.8086409056778144,6.708395504929882e-08,6.708395504929882e-08
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Mo,9.958828984517513e-12,1.1917046794920047e-12,8.2e-05,1.3556275656784592e-17,1.1328698565692033e-16,Molybdenite,1.6700000000000004,1.9901468147516484e-12,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964071657272738,0.9176761103880936,1.6176642035679223e-07,1.6176642035679223e-07
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Mo,5.131826110412538e-12,3.1027939433257763e-12,0.00041,6.778137828392296e-17,1.1210613828398327e-16,Molybdenite,1.6700000000000004,5.181665885354047e-12,0.0006847000000000001,1.1319490173415135e-16,0.0001796407185628742,0.0001796407133812083,0.9176761103880936,4.211866936051761e-07,4.211866936051761e-07
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Cu,5.131826110412538e-12,2.0290321670867625e-12,0.0036,4.432476000006032e-17,1.1210613828398327e-16,Chalcopyrite,2.8793103448275863,5.842213308680851e-12,0.01036551724137931,1.276247400001737e-16,0.00201437125748503,0.0020143712516428164,0.8086409056778144,1.552565314931242e-08,1.552565314931242e-08
"Nickel, Ni 2.5E+0%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')",Ni,4.241904444315969e-12,4.241904444315969e-12,0.025,2.2666854221206516e-15,2.2666854221206516e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.2446608315887117e-11,0.07335507246376811,6.650914935689089e-15,0.00509049773755656,0.005090497725109952,0.0803628113054402,1.506921741897029e-09,1.506921741897029e-09
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Mo,1.9692304285083076e-12,1.117553699416861e-13,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,Molybdenite,1.6700000000000004,1.8663146780261582e-13,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964071837624272,0.9176761103880936,1.5170623306735217e-08,1.5170623306735217e-08
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Cu,1.9692304285083076e-12,1.8574750585666215e-12,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,Chalcopyrite,2.8793103448275863,5.3482471513901e-12,0.05269137931034483,6.48759095000883e-16,0.00201437125748503,0.002014371252136783,0.8086409056778144,1.4212864973627975e-08,1.4212864973627975e-08
"Lead, Pb 0.014%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')",Pb,1.8437583115468222e-12,1.8437583115468222e-12,0.00014000000000000001,1.6597356591276228e-17,1.6597356591276228e-17,Galena,1.1560975609756097,2.1315644870077896e-12,0.00016185365853658537,1.9188163473816905e-17,0.017732067510548524,0.01773206750841696,0.635111259945265,2.7127536281434384e-11,2.7127536281434384e-11
"Cobalt, in ground","('ecoinvent-3.4-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Co,1.4942913892445462e-12,1.4942913892445462e-12,0.0019,3.695024078206249e-15,3.695024078206249e-15,Linnaeite,1.727272727272727,2.5810487632405794e-12,0.0032818181818181813,6.3823143169017024e-15,0.000636842105263158,0.0006368421026821092,0.0455986939380875,8.686288093525363e-09,8.686288093525363e-09
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')",Mo,1.1940300926082799e-12,2.6287718524338685e-13,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,Molybdenite,1.6700000000000004,4.390048993564561e-13,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.0001796407181238693,0.9176761103880936,3.5677458868905505e-08,3.5677458868905505e-08
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')",Cu,1.1940300926082799e-12,9.31152907364893e-13,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,Chalcopyrite,2.8793103448275863,2.6810781987920197e-12,0.011229310344827588,1.3826013500018817e-16,0.00201437125748503,0.002014371254803952,0.8086409056778144,7.124954030281183e-09,7.124954030281183e-09
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')",Mo,1.0517387693631474e-12,3.046518738750049e-13,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,Molybdenite,1.6700000000000004,5.087686293712583e-13,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964071805410558,0.9176761103880936,4.1351598521839346e-08,4.1351598521839346e-08
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')",Cu,1.0517387693631474e-12,7.470868954881426e-13,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,Chalcopyrite,2.8793103448275863,2.1510950266641347e-12,0.007774137931034483,9.571855500013028e-17,0.00201437125748503,0.002014371255333935,0.8086409056778144,5.716328352962978e-09,5.716328352962978e-09
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')",Mo,7.814663001394752e-13,1.8302665909409117e-13,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,Molybdenite,1.6700000000000004,3.0565452068713234e-13,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.00017964071825721969,0.9176761103880936,2.4846043386608303e-08,2.4846043386608303e-08
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')",Cu,7.814663001394752e-13,5.984396410453841e-13,0.0036,4.432476000006032e-17,5.788103565684491e-17,Chalcopyrite,2.8793103448275863,1.7230934492168818e-12,0.01036551724137931,1.276247400001737e-16,0.00201437125748503,0.0020143712557619364,0.8086409056778144,4.579182390020236e-09,4.579182390020236e-09
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')",Mo,6.782394980058259e-13,2.2621999621424952e-13,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,Molybdenite,1.6700000000000004,3.777873936777968e-13,0.00013694000000000003,2.2638980346830273e-17,0.0001796407185628742,0.0001796407181850868,0.9176761103880936,3.07068033254917e-08,3.07068033254917e-08
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')",Cu,6.782394980058259e-13,4.520195017915763e-13,0.0022,2.70873533333702e-17,4.064362899015479e-17,Chalcopyrite,2.8793103448275863,1.3015044275722974e-12,0.00633448275862069,7.799289666677281e-17,0.00201437125748503,0.0020143712561835254,0.8086409056778144,3.4587204163571334e-09,3.4587204163571334e-09
